ID,X1,X2,X3,X4,X5,Y
1,-60,-48,-65,-45,-53,0
2,-58,-49,-65,-43,-54,0
3,-60,-48,-65,-45,-54,0
4,-59,-48,-64,-51,-54,0
5,-58,-50,-65,-47,-52,0
6,-58,-48,-62,-47,-53,0
7,-57,-49,-59,-48,-54,0
8,-59,-49,-63,-48,-52,0
9,-58,-49,-63,-48,-54,0
10,-59,-49,-64,-48,-54,0
11,-59,-48,-64,-48,-52,0
12,-58,-48,-62,-47,-52,0
13,-60,-49,-62,-48,-52,0
14,-59,-49,-63,-47,-52,0
15,-58,-50,-63,-48,-53,0
16,-59,-50,-63,-47,-51,0
17,-57,-49,-63,-48,-54,0
18,-60,-48,-63,-49,-53,0
19,-58,-48,-60,-47,-51,0
20,-58,-49,-63,-46,-54,0
21,-58,-47,-63,-48,-51,0
22,-60,-48,-60,-48,-52,0
23,-60,-48,-63,-47,-52,0
24,-57,-48,-65,-50,-52,0
25,-60,-48,-60,-48,-52,0
26,-59,-48,-62,-47,-54,0
27,-60,-48,-63,-47,-51,0
28,-57,-48,-65,-47,-53,0
29,-60,-49,-62,-48,-54,0
30,-58,-48,-61,-46,-53,0
31,-60,-49,-63,-46,-51,0
32,-59,-47,-63,-47,-52,0
33,-60,-41,-63,-49,-52,0
34,-60,-42,-62,-50,-53,0
35,-60,-41,-62,-49,-54,0
36,-60,-41,-63,-48,-52,0
37,-58,-41,-63,-48,-53,0
38,-60,-41,-63,-50,-53,0
39,-60,-41,-60,-48,-54,0
40,-60,-42,-63,-48,-54,0
41,-60,-41,-61,-47,-54,0
42,-59,-41,-62,-48,-54,0
43,-58,-42,-64,-48,-54,0
44,-58,-42,-62,-45,-51,0
45,-60,-43,-63,-46,-54,0
46,-58,-41,-63,-46,-53,0
47,-58,-42,-69,-45,-54,0
48,-58,-42,-66,-46,-52,0
49,-59,-42,-65,-47,-54,0
50,-57,-44,-69,-43,-52,0
51,-57,-42,-68,-45,-51,0
52,-58,-41,-66,-47,-53,0
53,-58,-42,-67,-47,-54,0
54,-59,-42,-65,-47,-52,0
55,-59,-41,-65,-46,-51,0
56,-58,-41,-67,-45,-53,0
57,-59,-41,-68,-45,-51,0
58,-57,-41,-68,-46,-53,0
59,-60,-42,-68,-45,-53,0
60,-57,-44,-65,-46,-54,0
61,-59,-42,-66,-45,-54,0
62,-59,-44,-68,-45,-51,0
63,-59,-42,-66,-46,-51,0
64,-58,-41,-67,-46,-52,0
65,-57,-42,-67,-45,-51,0
66,-59,-44,-66,-45,-52,0
67,-58,-44,-66,-45,-54,0
68,-59,-44,-67,-47,-51,0
69,-58,-43,-65,-46,-53,0
70,-57,-43,-66,-47,-52,0
71,-60,-41,-67,-46,-51,0
72,-57,-44,-68,-45,-52,0
73,-57,-41,-67,-47,-51,0
74,-58,-41,-66,-46,-54,0
75,-57,-43,-66,-46,-51,0
76,-60,-41,-66,-45,-52,0
77,-57,-41,-68,-47,-52,0
78,-59,-42,-67,-46,-51,0
79,-59,-42,-66,-45,-52,0
80,-60,-43,-68,-47,-52,0
81,-57,-42,-65,-46,-54,0
82,-60,-42,-66,-45,-54,0
83,-59,-42,-65,-46,-54,0
84,-58,-41,-65,-47,-51,0
85,-60,-44,-65,-45,-51,0
86,-58,-41,-67,-46,-52,0
87,-60,-44,-66,-46,-54,0
88,-58,-42,-67,-45,-52,0
89,-60,-44,-67,-45,-52,0
90,-59,-43,-66,-47,-51,0
91,-60,-42,-65,-45,-52,0
92,-57,-42,-68,-47,-54,0
93,-60,-42,-66,-46,-54,0
94,-57,-42,-65,-46,-53,0
95,-59,-44,-68,-47,-52,0
96,-58,-44,-65,-46,-51,0
97,-58,-44,-66,-45,-53,0
98,-58,-43,-66,-46,-51,0
99,-59,-43,-68,-47,-54,0
100,-57,-43,-66,-45,-51,0
101,-57,-48,-64,-45,-52,1
102,-60,-48,-65,-43,-53,1
103,-58,-49,-63,-48,-53,1
104,-60,-50,-64,-47,-54,1
105,-57,-50,-63,-48,-53,1
106,-57,-50,-65,-44,-55,1
107,-60,-50,-63,-43,-53,1
108,-58,-46,-63,-45,-48,1
109,-59,-47,-64,-46,-59,1
110,-60,-46,-66,-47,-52,1
111,-58,-47,-63,-43,-53,1
112,-57,-47,-66,-47,-53,1
113,-60,-47,-64,-47,-51,1
114,-57,-48,-65,-45,-54,1
115,-60,-48,-63,-45,-53,1
116,-59,-47,-66,-45,-54,1
117,-58,-47,-66,-46,-53,1
118,-59,-47,-63,-46,-54,1
119,-59,-48,-66,-45,-55,1
120,-57,-46,-66,-46,-53,1
121,-58,-48,-65,-48,-55,1
122,-59,-47,-65,-48,-53,1
123,-58,-44,-65,-48,-54,1
124,-58,-47,-64,-48,-53,1
125,-57,-45,-64,-46,-54,1
126,-58,-43,-64,-47,-51,1
127,-58,-43,-63,-47,-51,1
128,-57,-43,-63,-47,-51,1
129,-57,-43,-65,-48,-49,1
130,-58,-43,-63,-48,-49,1
131,-58,-42,-66,-45,-50,1
132,-57,-42,-64,-43,-51,1
133,-58,-42,-63,-43,-50,1
134,-58,-44,-63,-43,-50,1
135,-59,-40,-64,-46,-49,1
136,-57,-42,-63,-46,-50,1
137,-59,-42,-65,-45,-49,1
138,-58,-42,-65,-48,-49,1
139,-56,-43,-64,-45,-52,1
140,-55,-43,-66,-46,-52,1
141,-54,-43,-63,-44,-52,1
142,-55,-43,-65,-45,-50,1
143,-54,-44,-64,-46,-52,1
144,-54,-42,-66,-47,-52,1
145,-54,-42,-64,-45,-51,1
146,-53,-42,-66,-43,-55,1
147,-56,-43,-64,-45,-54,1
148,-55,-43,-66,-46,-52,1
149,-58,-44,-64,-47,-52,1
150,-56,-43,-66,-43,-51,1
151,-55,-42,-66,-45,-51,1
152,-56,-42,-64,-45,-50,1
153,-59,-41,-64,-47,-49,1
154,-55,-43,-66,-47,-49,1
155,-58,-44,-64,-44,-49,1
156,-58,-41,-66,-44,-50,1
157,-57,-42,-65,-48,-50,1
158,-57,-41,-64,-47,-50,1
159,-57,-42,-63,-44,-50,1
160,-57,-41,-65,-46,-49,1
161,-58,-43,-65,-48,-50,1
162,-57,-41,-64,-45,-51,1
163,-55,-42,-64,-45,-51,1
164,-56,-42,-63,-47,-51,1
165,-56,-42,-65,-47,-51,1
166,-56,-42,-63,-44,-51,1
167,-54,-44,-63,-47,-51,1
168,-54,-44,-65,-47,-55,1
169,-54,-45,-64,-47,-56,1
170,-54,-45,-63,-43,-56,1
171,-56,-43,-64,-48,-52,1
172,-56,-43,-63,-45,-52,1
173,-56,-43,-65,-45,-55,1
174,-56,-43,-64,-43,-55,1
175,-57,-45,-64,-44,-55,1
176,-57,-45,-66,-45,-55,1
177,-56,-44,-63,-48,-55,1
178,-56,-44,-65,-44,-55,1
179,-56,-44,-64,-46,-57,1
180,-56,-44,-65,-44,-57,1
181,-56,-45,-66,-48,-55,1
182,-56,-45,-65,-44,-55,1
183,-56,-44,-66,-46,-55,1
184,-56,-44,-66,-45,-55,1
185,-55,-44,-66,-45,-55,1
186,-55,-44,-65,-48,-55,1
187,-55,-44,-63,-47,-55,1
188,-56,-44,-63,-45,-55,1
189,-56,-44,-65,-47,-55,1
190,-56,-44,-66,-46,-55,1
191,-56,-44,-66,-46,-55,1
192,-56,-44,-66,-44,-56,1
193,-56,-44,-63,-46,-56,1
194,-56,-43,-63,-45,-55,1
195,-56,-43,-63,-48,-55,1
196,-57,-43,-63,-44,-55,1
197,-57,-43,-63,-43,-55,1
198,-57,-44,-65,-46,-54,1
199,-57,-44,-64,-44,-54,1
200,-57,-42,-63,-48,-54,1
201,-57,-42,-66,-54,-53,2
202,-57,-43,-66,-54,-52,2
203,-57,-43,-65,-51,-53,2
204,-58,-42,-67,-51,-55,2
205,-58,-43,-68,-55,-56,2
206,-57,-43,-69,-49,-54,2
207,-62,-45,-69,-46,-52,2
208,-60,-45,-68,-46,-51,2
209,-61,-46,-67,-47,-52,2
210,-61,-45,-69,-48,-50,2
211,-58,-44,-68,-46,-51,2
212,-60,-45,-65,-47,-53,2
213,-60,-44,-70,-46,-54,2
214,-66,-45,-67,-49,-51,2
215,-59,-47,-66,-50,-52,2
216,-59,-44,-69,-47,-53,2
217,-58,-44,-67,-49,-54,2
218,-57,-44,-68,-47,-53,2
219,-57,-44,-66,-47,-53,2
220,-60,-44,-67,-46,-53,2
221,-59,-45,-64,-46,-52,2
222,-58,-44,-70,-47,-53,2
223,-59,-45,-66,-46,-53,2
224,-60,-44,-68,-48,-52,2
225,-59,-44,-70,-47,-53,2
226,-58,-46,-70,-48,-53,2
227,-59,-45,-70,-48,-54,2
228,-59,-44,-68,-48,-52,2
229,-61,-44,-66,-49,-52,2
230,-63,-45,-65,-49,-53,2
231,-61,-44,-68,-49,-53,2
232,-60,-44,-68,-48,-53,2
233,-60,-43,-65,-49,-53,2
234,-60,-44,-66,-48,-52,2
235,-60,-44,-67,-48,-53,2
236,-60,-44,-70,-49,-53,2
237,-60,-44,-70,-48,-53,2
238,-60,-46,-69,-50,-52,2
239,-58,-47,-64,-50,-52,2
240,-59,-45,-70,-50,-54,2
241,-58,-45,-66,-50,-54,2
242,-60,-44,-64,-50,-53,2
243,-59,-44,-65,-53,-53,2
244,-58,-44,-65,-53,-53,2
245,-61,-43,-64,-51,-54,2
246,-54,-43,-67,-47,-54,2
247,-55,-42,-69,-48,-57,2
248,-57,-42,-66,-56,-56,2
249,-60,-44,-68,-56,-59,2
250,-60,-41,-68,-54,-54,2
251,-56,-42,-66,-54,-52,2
252,-55,-42,-67,-53,-51,2
253,-56,-42,-70,-54,-51,2
254,-57,-45,-69,-50,-50,2
255,-57,-44,-68,-50,-50,2
256,-57,-43,-65,-47,-52,2
257,-53,-43,-68,-50,-52,2
258,-55,-43,-70,-50,-52,2
259,-54,-43,-64,-49,-51,2
260,-56,-43,-64,-49,-51,2
261,-56,-43,-69,-49,-52,2
262,-55,-44,-70,-47,-53,2
263,-52,-53,-68,-42,-47,2
264,-57,-53,-68,-45,-47,2
265,-57,-50,-68,-45,-49,2
266,-57,-50,-70,-45,-49,2
267,-55,-52,-70,-45,-48,2
268,-57,-50,-70,-44,-47,2
269,-56,-50,-64,-44,-47,2
270,-56,-53,-69,-43,-49,2
271,-56,-50,-67,-43,-50,2
272,-57,-50,-67,-45,-49,2
273,-52,-51,-69,-46,-49,2
274,-52,-49,-65,-47,-50,2
275,-52,-49,-67,-45,-49,2
276,-51,-45,-69,-47,-50,2
277,-49,-47,-67,-48,-50,2
278,-48,-46,-70,-47,-50,2
279,-48,-48,-70,-48,-50,2
280,-50,-46,-64,-47,-49,2
281,-50,-47,-67,-43,-50,2
282,-52,-45,-66,-46,-49,2
283,-50,-48,-68,-47,-48,2
284,-50,-48,-65,-46,-48,2
285,-52,-50,-65,-46,-45,2
286,-50,-45,-64,-47,-49,2
287,-50,-42,-65,-46,-48,2
288,-49,-42,-69,-44,-46,2
289,-49,-44,-68,-45,-46,2
290,-49,-41,-65,-45,-47,2
291,-48,-43,-69,-46,-47,2
292,-50,-44,-68,-47,-49,2
293,-49,-42,-70,-44,-49,2
294,-51,-43,-66,-44,-49,2
295,-49,-44,-66,-46,-46,2
296,-49,-43,-70,-45,-48,2
297,-49,-43,-64,-47,-48,2
298,-49,-42,-66,-45,-48,2
299,-49,-44,-65,-47,-46,2
300,-49,-42,-68,-46,-47,2
301,-55,-54,-63,-52,-57,3
302,-56,-51,-62,-52,-58,3
303,-56,-50,-61,-53,-59,3
304,-56,-50,-63,-53,-58,3
305,-54,-54,-63,-53,-59,3
306,-55,-51,-63,-53,-60,3
307,-55,-51,-63,-52,-59,3
308,-56,-49,-63,-53,-60,3
309,-55,-50,-63,-53,-60,3
310,-56,-50,-62,-53,-59,3
311,-51,-46,-62,-53,-60,3
312,-50,-44,-66,-52,-63,3
313,-50,-44,-68,-52,-62,3
314,-50,-42,-68,-52,-64,3
315,-49,-47,-64,-51,-60,3
316,-49,-49,-63,-51,-63,3
317,-46,-49,-64,-51,-61,3
318,-49,-49,-64,-51,-59,3
319,-49,-50,-63,-51,-59,3
320,-48,-50,-63,-50,-58,3
321,-50,-50,-64,-51,-57,3
322,-50,-51,-64,-51,-56,3
323,-48,-51,-64,-51,-56,3
324,-49,-52,-63,-49,-58,3
325,-47,-49,-65,-48,-57,3
326,-50,-54,-64,-50,-57,3
327,-49,-54,-63,-51,-54,3
328,-51,-55,-63,-50,-56,3
